"ticker","news_source","news_title","news_date","news_tags","news_description","news_url","news_image_url","created_at","updated_at"
"KNIP11","Suno Notícias","Dividendos hoje: 8 FIIs pagam proventos nesta quarta","2024-11-14 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do KNIP11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-knip11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/03/shutterstock_2172822511-scaled.jpg","2024-11-14 00:00:00","2024-11-14 00:00:00"
"HABT11","Suno Notícias","Dividendos hoje: 7 FIIs pagam proventos nesta terça","2024-11-13 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do HABT11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-habt11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/11/fundos-imobiliarios-4.jpg","2024-11-13 00:00:00","2024-11-13 00:00:00"
"IRDM11","Suno Notícias","Cotistas do FII IRDM11 receberão R$ 0,75 por cota em novembro","2024-11-13 00:00:00","IRDM11, Fundos Imobiliários (FIIs), IRDM11","O FII IRDM11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do IRDM11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-irdm11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/11/fundos-imobiliarios-4.jpg","2024-11-13 00:00:00","2024-11-13 00:00:00"
"RBRR11","Suno Notícias","Cotistas do RBRR11 receberão R$ 0,80 em rendimentos","2024-11-13 00:00:00","RBRR11, Fundos Imobiliários (FIIs), RBRR11","O FII RBRR11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do RBRR11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-rbrr11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/06/9d9dd767-buildings-1842205_1920.jpg","2024-11-13 00:00:00","2024-11-13 00:00:00"
"RBRF11","Suno Notícias","Fundo imobiliário RBRF11 vai distribuir R$ 0,09 por cota; confira","2024-11-13 00:00:00","RBRF11, Fundos Imobiliários (FIIs), RBRF11","O FII RBRF11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do RBRF11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-rbrf11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/04/77623bd0-buildings-690868_1280.jpg","2024-11-13 00:00:00","2024-11-13 00:00:00"
"SNFF11","Suno Notícias","SNFF11 registra dividend yield de 0,80% em setembro","2024-11-09 00:00:00","SNFF11, Fundos Imobiliários (FIIs)","Em setembro, o fundo SNFF11 apresentou um dividend yield mensal de 0,80%, resultante da distribuição de R$ 0,67 por cota.","https://www.suno.com.br/noticias/snff11-registra-dividend-yield-080-setembro/","https://files.sunoresearch.com.br/n/uploads/2024/04/iStock-1202317640.jpg","2024-11-09 00:00:00","2024-11-09 00:00:00"
"BTCI11","Suno Notícias","FII BTCI11 pagará R$ 0,09 para seus cotistas","2024-11-09 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII BTCI11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do BTCI11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-btci11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2024/03/FIIs-IFIX-predios.jpg","2024-11-09 00:00:00","2024-11-09 00:00:00"
"BRCR11","Suno Notícias","FII BRCR11 pagará R$ 0,50 por cota em novembro","2024-11-09 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII BRCR11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do BRCR11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-brcr11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/02/2-1.jpg","2024-11-09 00:00:00","2024-11-09 00:00:00"
"GGRC11","Suno Notícias","Dividendos hoje: 9 FIIs pagarão proventos nesta sexta","2024-11-09 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do GGRC11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-ggrc11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/07/c22ab583-architecture-22039_1920.jpg","2024-11-09 00:00:00","2024-11-09 00:00:00"
"RZTR11","Suno Notícias","Dividendos hoje: 16 FIIs pagam proventos nesta quinta","2024-11-07 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do RZTR11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-rztr11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/07/22e3bff6-architecture-768432_1920.jpg","2024-11-08 00:00:00","2024-11-08 00:00:00"
